Date,Days.after.deployment,Observer,Reef.num,risk,Density,Time.Start,Time.End,Goby.ID,"Gravid.(0,1,2,3)",Nearest.TOL.num,"Starting.location.(TOL,.rocks,.sand)","Starting.position.(exposed,.hidden)",Total.time.exposed,proportion.exposed,Total.time.hidden,proportion.hidden,num.movement.swims,Distance.moved.(mm),num.bites,num.times.chased,chased.by.size/tag,num.times.chaser,size/tag.chased,area.used.cm.2,predator.size,notes.observer,notes.gj
,12,,8,,,15:49,15:54,26,0,1,rock,exposed,230,0.77,70,0.23,6,150,1,0,NA,1,30(g1),120,,Interesting that it chased away a much larger/gravid female,
,12,,9,,5,15:59,16:04,29,1,5,rock,exposed,226,0.75,74,0.25,10,250,3,0,NA,0,NA,150,,,
,12,,9,,,16:06,16:11,30,3,2,rock,exposed,236,0.79,64,0.21,12,230,4,0,NA,1,26(g1),225,,,
,12,,9,,,16:13,16:18,26,2,5,rock,exposed,300,1.00,0,0.00,4,300,6,2,30(g3)x2,0,NA,60,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,0.00,300,1.00,,,,,,,,,,,
