Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,"close.on.reef(0-0.275m, 5)","just.outside.of.small.frame.or.on.top(0.276-0.45m, 4)","within.1m.of.cage.far.from.small.cage.at.cage.frame.for.lg.cage(0.46-1m, 3)","between.1and2m.of.cage(1.1-2m, 2)","beyond2m.of.cage(2.1m+, 1)",not.present(0),total.num.images.for.time.lapse,total.time.min,,minimum number of images = 650,6500,108.3333333,1.805555556
GCJ,2,14,Medium,3,180,44695,FHASE,1,2,1,2,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,1,60,12724,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,MHASE,4,4,4,4,,,,,,,,,,,,,
GCJ,2,12,Medium,1,60,12724,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,1,60,12724,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,2,120,12784,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,2,120,12784,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,2,120,12784,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,2,120,12784,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,3,180,12844,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,3,180,12844,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,3,180,12844,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,3,180,12844,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,4,240,12904,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,4,240,12904,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,4,240,12904,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,12,Medium,4,240,12904,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,1,60,23182,CAPR,,,0,0,,,,,,,566,94.33333333,,,,,
GCJ,2,14,Medium,7,420,44935,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,1,60,23182,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,1,60,23182,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,1,60,23182,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,2,120,23242,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,2,120,23242,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,2,120,23242,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,2,120,23242,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,3,180,23302,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,FHASE,1,2,1,2,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,3,180,23302,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,3,180,23302,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,3,180,23302,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,4,240,23362,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,4,240,23362,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,4,240,23362,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,1,60,44107,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,4,240,23362,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,5,300,23422,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,5,300,23422,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,5,300,23422,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,2,120,44167,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,5,300,23422,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,6,360,23482,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,6,360,23482,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,6,360,23482,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,3,180,44237,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,6,360,23482,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,7,420,23542,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,7,420,23542,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,7,420,23542,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,4,240,44297,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,7,420,23542,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,8,480,23602,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,8,480,23602,HYRU,,,0,0,,,,,,,,,,,,,
