Trial,Treatment,Reef,measure,value
1,Low,1,contain.pred,0
1,Low,3,contain.pred,0
1,Low,8,contain.pred,0
1,Low,10,contain.pred,0.166666667
1,Low,13,contain.pred,0.25
1,Low,16,contain.pred,0.166666667
2,Low,2,contain.pred,0.208333333
2,Low,6,contain.pred,0.291666667
2,Low,8,contain.pred,0.041666667
2,Low,10,contain.pred,0.15625
2,Low,13,contain.pred,0.111111111
2,Low,16,contain.pred,0
3,Low,11,contain.pred,0
3,Low,13,contain.pred,0.083333333
3,Low,15,contain.pred,0
4,Low,15,contain.pred,0.180555556
4,Low,4,contain.pred,0.142857143
4,Low,8,contain.pred,0.039473684
5,Low,11,contain.pred,0.208333333
5,Low,13,contain.pred,0.078125
5,Low,17,contain.pred,0
1,Medium,2,contain.pred,0
1,Medium,5,contain.pred,0
1,Medium,7,contain.pred,0.0625
1,Medium,11,contain.pred,0.333333333
1,Medium,14,contain.pred,0.125
1,Medium,17,contain.pred,0.083333333
2,Medium,1,contain.pred,0.270833333
2,Medium,4,contain.pred,0.208333333
2,Medium,7,contain.pred,0.25
2,Medium,12,contain.pred,0.0625
2,Medium,14,contain.pred,0.111111111
2,Medium,18,contain.pred,0.15
3,Medium,12,contain.pred,0.333333333
3,Medium,16,contain.pred,0.113636364
3,Medium,18,contain.pred,0.136363636
4,Medium,17,contain.pred,0.107142857
5,Medium,5,contain.pred,0.25
5,Medium,7,contain.pred,0.222222222
5,Medium,10,contain.pred,0.173076923
5,Medium,16,contain.pred,0.039473684
1,High,4,contain.pred,0
1,High,6,contain.pred,0
1,High,9,contain.pred,0.25
1,High,12,contain.pred,0.583333333
1,High,15,contain.pred,0.083333333
1,High,18,contain.pred,0.125
2,High,3,contain.pred,0.416666667
2,High,5,contain.pred,0.458333333
2,High,9,contain.pred,0
2,High,11,contain.pred,0.125
2,High,15,contain.pred,0
2,High,17,contain.pred,0.15
3,High,10,contain.pred,0.3
3,High,14,contain.pred,0.0625
3,High,17,contain.pred,0.227272727
4,High,18,contain.pred,0.279411765
5,High,6,contain.pred,0.325
5,High,9,contain.pred,0.1375
5,High,12,contain.pred,0.175
5,High,15,contain.pred,0.1625
5,High,18,contain.pred,0.027777778
6,High,7,contain.pred,0.25
6,High,10,contain.pred,0.142857143
6,High,17,contain.pred,0.025
6,High,20,contain.pred,0.125
6,Control,2,contain.pred,0.25
6,Control,8,contain.pred,0.25
6,Control,12,contain.pred,0.166666667
6,Control,19,contain.pred,0.229166667
1,Low,1,sublethal,0
1,Low,3,sublethal,0
1,Low,8,sublethal,0
1,Low,10,sublethal,0
1,Low,13,sublethal,0
1,Low,16,sublethal,0
2,Low,2,sublethal,0
2,Low,6,sublethal,0
2,Low,8,sublethal,0
2,Low,10,sublethal,0
2,Low,13,sublethal,0
2,Low,16,sublethal,0
3,Low,11,sublethal,0
3,Low,13,sublethal,0
3,Low,15,sublethal,0
4,Low,15,sublethal,0
4,Low,4,sublethal,0
4,Low,8,sublethal,0
5,Low,11,sublethal,0
5,Low,13,sublethal,0
5,Low,17,sublethal,0
1,Medium,2,sublethal,0
1,Medium,5,sublethal,0
1,Medium,7,sublethal,0
1,Medium,11,sublethal,0.083333333
1,Medium,14,sublethal,0.125
1,Medium,17,sublethal,0
2,Medium,1,sublethal,0.020833333
2,Medium,4,sublethal,0
2,Medium,7,sublethal,0
2,Medium,12,sublethal,0
2,Medium,14,sublethal,0.027777778
2,Medium,18,sublethal,0.1
3,Medium,12,sublethal,0.166666667
3,Medium,16,sublethal,0.022727273
3,Medium,18,sublethal,0.022727273
4,Medium,17,sublethal,0
5,Medium,5,sublethal,0.075
5,Medium,7,sublethal,0.027777778
5,Medium,10,sublethal,0.038461538
5,Medium,16,sublethal,0
1,High,4,sublethal,0
1,High,6,sublethal,0
1,High,9,sublethal,0.166666667
1,High,12,sublethal,0.333333333
1,High,15,sublethal,0.083333333
1,High,18,sublethal,0.125
2,High,3,sublethal,0.041666667
2,High,5,sublethal,0.125
2,High,9,sublethal,0
2,High,11,sublethal,0.0625
2,High,15,sublethal,0
2,High,17,sublethal,0.05
3,High,10,sublethal,0.05
3,High,14,sublethal,0.0625
3,High,17,sublethal,0.136363636
4,High,18,sublethal,0.073529412
5,High,6,sublethal,0.075
5,High,9,sublethal,0.0625
5,High,12,sublethal,0.025
5,High,15,sublethal,0.025
5,High,18,sublethal,0
6,High,7,sublethal,0.016666667
6,High,10,sublethal,0.017857143
6,High,17,sublethal,0.025
6,High,20,sublethal,0.1
6,Control,2,sublethal,0.016666667
6,Control,8,sublethal,0.083333333
6,Control,12,sublethal,0.020833333
6,Control,19,sublethal,0.083333333
1,Low,1,lethal,0
1,Low,3,lethal,0
1,Low,8,lethal,0
1,Low,10,lethal,0
1,Low,13,lethal,0
1,Low,16,lethal,0
2,Low,2,lethal,0
2,Low,6,lethal,0
2,Low,8,lethal,0
2,Low,10,lethal,0
2,Low,13,lethal,0
2,Low,16,lethal,0
3,Low,11,lethal,0
3,Low,13,lethal,0
3,Low,15,lethal,0
4,Low,15,lethal,0
4,Low,4,lethal,0
4,Low,8,lethal,0
5,Low,11,lethal,0
5,Low,13,lethal,0
5,Low,17,lethal,0
1,Medium,2,lethal,0
1,Medium,5,lethal,0
1,Medium,7,lethal,0
1,Medium,11,lethal,0
1,Medium,14,lethal,0
1,Medium,17,lethal,0
2,Medium,1,lethal,0
2,Medium,4,lethal,0
2,Medium,7,lethal,0
2,Medium,12,lethal,0
2,Medium,14,lethal,0
2,Medium,18,lethal,0
3,Medium,12,lethal,0
3,Medium,16,lethal,0
3,Medium,18,lethal,0
4,Medium,17,lethal,0
5,Medium,5,lethal,0
5,Medium,7,lethal,0
5,Medium,10,lethal,0
