"Trial","Reef","Treatment.combo","Treatment.t6","Predator.class","Score"
1,9,"High","High","Lethal.Threat",0.3
2,9,"High","High","Lethal.Threat",0
5,9,"High","High","Lethal.Threat",0.1
3,10,"High","High","Lethal.Threat",0.3
6,10,"High","High","Lethal.Threat",0
2,11,"High","High","Lethal.Threat",0
1,12,"High","High","Lethal.Threat",0.4
5,12,"High","High","Lethal.Threat",0
3,14,"High","High","Lethal.Threat",0.2
1,15,"High","High","Lethal.Threat",0.1
2,15,"High","High","Lethal.Threat",0
5,15,"High","High","Lethal.Threat",0
2,17,"High","High","Lethal.Threat",0.1
3,17,"High","High","Lethal.Threat",0.272727272727273
6,17,"High","High","Lethal.Threat",0.1
1,18,"High","High","Lethal.Threat",0.3
4,18,"High","High","Lethal.Threat",0.0588235294117647
5,18,"High","High","Lethal.Threat",0
6,20,"High","High","Lethal.Threat",0.2
1,1,"Low","Low","Lethal.Threat",0
2,2,"Low","Low","Lethal.Threat",0
1,3,"Low","Low","Lethal.Threat",0
5,4,"Low","Low","Lethal.Threat",0
2,6,"Low","Low","Lethal.Threat",0
1,8,"Low","Low","Lethal.Threat",0
2,8,"Low","Low","Lethal.Threat",0
5,8,"Low","Low","Lethal.Threat",0
1,10,"Low","Low","Lethal.Threat",0
2,10,"Low","Low","Lethal.Threat",0
3,11,"Low","Low","Lethal.Threat",0
5,11,"Low","Low","Lethal.Threat",0
1,13,"Low","Low","Lethal.Threat",0
2,13,"Low","Low","Lethal.Threat",0
3,13,"Low","Low","Lethal.Threat",0
5,13,"Low","Low","Lethal.Threat",0
3,15,"Low","Low","Lethal.Threat",0
4,15,"Low","Low","Lethal.Threat",0
1,16,"Low","Low","Lethal.Threat",0
2,16,"Low","Low","Lethal.Threat",0
5,17,"Low","Low","Lethal.Threat",0
2,1,"Medium","Medium","Lethal.Threat",0
1,2,"Medium","Medium","Lethal.Threat",0
2,4,"Medium","Medium","Lethal.Threat",0
1,5,"Medium","Medium","Lethal.Threat",0
5,5,"Medium","Medium","Lethal.Threat",0
1,7,"Medium","Medium","Lethal.Threat",0
2,7,"Medium","Medium","Lethal.Threat",0
5,7,"Medium","Medium","Lethal.Threat",0
5,10,"Medium","Medium","Lethal.Threat",0
1,11,"Medium","Medium","Lethal.Threat",0
2,12,"Medium","Medium","Lethal.Threat",0
3,12,"Medium","Medium","Lethal.Threat",0
1,14,"Medium","Medium","Lethal.Threat",0
2,14,"Medium","Medium","Lethal.Threat",0
3,16,"Medium","Medium","Lethal.Threat",0
5,16,"Medium","Medium","Lethal.Threat",0
1,17,"Medium","Medium","Lethal.Threat",0
4,17,"Medium","Medium","Lethal.Threat",0
2,18,"Medium","Medium","Lethal.Threat",0
3,18,"Medium","Medium","Lethal.Threat",0
6,2,"High","Uncaged","Lethal.Threat",0
6,8,"High","Uncaged","Lethal.Threat",0.2
6,12,"High","Uncaged","Lethal.Threat",0.0833333333333333
6,19,"High","Uncaged","Lethal.Threat",0.0833333333333333
