"Trial","Reef","Treatment","T6.comparison","Read.number","contained.pred","sublethal.threat","lethal.threat","Year","Year.fact"
1,1,"Low","Low",1,0,0,0,2017,"2017"
1,1,"Low","Low",2,0,0,0,2017,"2017"
1,1,"Low","Low",3,1,0,0,2017,"2017"
1,1,"Low","Low",4,0,0,0,2017,"2017"
1,1,"Low","Low",5,1,0,0,2017,"2017"
1,1,"Low","Low",6,0,0,0,2017,"2017"
1,1,"Low","Low",7,0,0,0,2017,"2017"
1,1,"Low","Low",8,0,0,0,2017,"2017"
1,1,"Low","Low",9,0,0,0,2017,"2017"
1,1,"Low","Low",10,0,0,0,2017,"2017"
1,2,"Medium","Medium",1,0,0,0,2017,"2017"
1,2,"Medium","Medium",2,0,0,0,2017,"2017"
1,2,"Medium","Medium",3,0,0,0,2017,"2017"
1,2,"Medium","Medium",4,0,0,0,2017,"2017"
1,2,"Medium","Medium",5,0,0,0,2017,"2017"
1,2,"Medium","Medium",6,1,0,0,2017,"2017"
1,2,"Medium","Medium",7,1,0,0,2017,"2017"
1,2,"Medium","Medium",8,0,0,0,2017,"2017"
1,2,"Medium","Medium",9,0,0,0,2017,"2017"
1,2,"Medium","Medium",10,1,0,0,2017,"2017"
1,3,"Low","Low",1,0,0,0,2017,"2017"
1,3,"Low","Low",2,0,0,0,2017,"2017"
1,3,"Low","Low",3,0,0,0,2017,"2017"
1,3,"Low","Low",4,0,0,0,2017,"2017"
1,3,"Low","Low",5,0,0,0,2017,"2017"
1,3,"Low","Low",6,1,0,0,2017,"2017"
1,3,"Low","Low",7,0,0,0,2017,"2017"
1,3,"Low","Low",8,0,0,0,2017,"2017"
1,3,"Low","Low",9,0,0,0,2017,"2017"
1,3,"Low","Low",10,0,0,0,2017,"2017"
1,4,"High","High",1,0,0,0,2017,"2017"
1,4,"High","High",2,0,0,0,2017,"2017"
1,4,"High","High",3,1,0,0,2017,"2017"
1,4,"High","High",4,0,0,0,2017,"2017"
1,4,"High","High",5,1,1,0,2017,"2017"
1,4,"High","High",6,0,0,0,2017,"2017"
1,4,"High","High",7,0,0,0,2017,"2017"
1,4,"High","High",8,1,0,0,2017,"2017"
1,4,"High","High",9,1,1,0,2017,"2017"
1,4,"High","High",10,0,0,0,2017,"2017"
1,5,"Medium","Medium",1,1,0,0,2017,"2017"
1,5,"Medium","Medium",2,1,0,0,2017,"2017"
1,5,"Medium","Medium",3,1,1,0,2017,"2017"
1,5,"Medium","Medium",4,1,0,0,2017,"2017"
1,5,"Medium","Medium",5,1,1,0,2017,"2017"
1,5,"Medium","Medium",6,1,0,0,2017,"2017"
1,5,"Medium","Medium",7,1,0,0,2017,"2017"
1,5,"Medium","Medium",8,1,1,0,2017,"2017"
1,5,"Medium","Medium",9,1,0,0,2017,"2017"
1,5,"Medium","Medium",10,1,0,0,2017,"2017"
1,6,"High","High",1,0,0,0,2017,"2017"
1,6,"High","High",2,0,0,0,2017,"2017"
1,6,"High","High",3,0,0,0,2017,"2017"
1,6,"High","High",4,0,0,0,2017,"2017"
1,6,"High","High",5,1,0,0,2017,"2017"
1,6,"High","High",6,0,0,0,2017,"2017"
1,6,"High","High",7,0,0,0,2017,"2017"
1,6,"High","High",8,0,0,0,2017,"2017"
1,6,"High","High",9,0,0,0,2017,"2017"
1,6,"High","High",10,1,0,0,2017,"2017"
1,7,"Medium","Medium",1,0,0,0,2017,"2017"
1,7,"Medium","Medium",2,0,0,0,2017,"2017"
1,7,"Medium","Medium",3,1,1,0,2017,"2017"
1,7,"Medium","Medium",4,1,0,0,2017,"2017"
1,7,"Medium","Medium",5,0,0,0,2017,"2017"
1,7,"Medium","Medium",6,0,0,0,2017,"2017"
1,7,"Medium","Medium",7,1,0,0,2017,"2017"
1,7,"Medium","Medium",8,0,0,0,2017,"2017"
1,7,"Medium","Medium",9,0,0,0,2017,"2017"
1,7,"Medium","Medium",10,1,0,0,2017,"2017"
1,8,"Low","Low",1,0,0,0,2017,"2017"
1,8,"Low","Low",2,1,0,0,2017,"2017"
1,8,"Low","Low",3,0,0,0,2017,"2017"
1,8,"Low","Low",4,0,0,0,2017,"2017"
1,8,"Low","Low",5,1,0,0,2017,"2017"
1,8,"Low","Low",6,1,0,0,2017,"2017"
1,8,"Low","Low",7,0,0,0,2017,"2017"
1,8,"Low","Low",8,0,0,0,2017,"2017"
1,8,"Low","Low",9,0,0,0,2017,"2017"
1,8,"Low","Low",10,1,0,0,2017,"2017"
1,9,"High","High",1,1,0,1,2017,"2017"
1,9,"High","High",2,0,0,0,2017,"2017"
1,9,"High","High",3,0,0,0,2017,"2017"
1,9,"High","High",4,0,0,0,2017,"2017"
1,9,"High","High",5,0,0,0,2017,"2017"
1,9,"High","High",6,1,0,1,2017,"2017"
1,9,"High","High",7,1,1,0,2017,"2017"
1,9,"High","High",8,1,0,1,2017,"2017"
1,9,"High","High",9,1,1,0,2017,"2017"
1,9,"High","High",10,0,0,0,2017,"2017"
1,10,"Low","Low",1,0,0,0,2017,"2017"
1,10,"Low","Low",2,0,0,0,2017,"2017"
1,10,"Low","Low",3,0,0,0,2017,"2017"
1,10,"Low","Low",4,0,0,0,2017,"2017"
1,10,"Low","Low",5,1,0,0,2017,"2017"
1,10,"Low","Low",6,1,0,0,2017,"2017"
1,10,"Low","Low",7,1,0,0,2017,"2017"
1,10,"Low","Low",8,0,0,0,2017,"2017"
1,10,"Low","Low",9,1,0,0,2017,"2017"
1,10,"Low","Low",10,0,0,0,2017,"2017"
1,11,"Medium","Medium",1,1,0,0,2017,"2017"
1,11,"Medium","Medium",2,0,0,0,2017,"2017"
1,11,"Medium","Medium",3,0,0,0,2017,"2017"
1,11,"Medium","Medium",4,1,0,0,2017,"2017"
1,11,"Medium","Medium",5,1,0,0,2017,"2017"
1,11,"Medium","Medium",6,1,1,0,2017,"2017"
1,11,"Medium","Medium",7,1,1,0,2017,"2017"
1,11,"Medium","Medium",8,1,1,0,2017,"2017"
1,11,"Medium","Medium",9,1,0,0,2017,"2017"
1,11,"Medium","Medium",10,1,0,0,2017,"2017"
1,12,"High","High",1,1,0,1,2017,"2017"
1,12,"High","High",2,1,1,0,2017,"2017"
1,12,"High","High",3,1,1,1,2017,"2017"
1,12,"High","High",4,1,0,0,2017,"2017"
1,12,"High","High",5,0,0,0,2017,"2017"
1,12,"High","High",6,1,0,1,2017,"2017"
1,12,"High","High",7,1,0,0,2017,"2017"
1,12,"High","High",8,0,0,0,2017,"2017"
1,12,"High","High",9,1,1,0,2017,"2017"
1,12,"High","High",10,1,1,1,2017,"2017"
1,13,"Low","Low",1,1,0,0,2017,"2017"
1,13,"Low","Low",2,1,0,0,2017,"2017"
1,13,"Low","Low",3,1,0,0,2017,"2017"
1,13,"Low","Low",4,1,0,0,2017,"2017"
1,13,"Low","Low",5,1,0,0,2017,"2017"
1,13,"Low","Low",6,1,0,0,2017,"2017"
1,13,"Low","Low",7,1,0,0,2017,"2017"
