"Trial","Reef","Treatment","T6.comparison","Year","Year.fact","Present","Sublethal.Threat","Lethal.Threat","avg.inhab"
6,7,"High","High",2018,"2018",0.733333333333333,0,0.0666666666666667,13
6,10,"High","High",2018,"2018",0.5,0.0714285714285714,0,12
6,17,"High","High",2018,"2018",0.1,0,0.1,11
6,20,"High","High",2018,"2018",0.4,0.1,0.2,12
6,2,"High","Uncaged",2018,"2018",0.8,0.0666666666666667,0,11
6,8,"High","Uncaged",2018,"2018",0.6,0.133333333333333,0.2,13
6,12,"High","Uncaged",2018,"2018",0.583333333333333,0,0.0833333333333333,11
6,19,"High","Uncaged",2018,"2018",0.75,0.25,0.0833333333333333,12
