Trial,Date,Week,Day,Reef,Treatment,Density,den.max,den.changed,deployment.day
5,7/15/2018,2,11,14,Medium,10,10,n,B
5,7/18/2018,3,14,14,Medium,10,10,n,B
5,7/19/2018,3,15,14,Medium,9,9,n,B
5,7/23/2018,3,19,14,Medium,8,8,n,B
5,7/24/2018,3,20,14,Medium,7,7,n,B
5,7/27/2018,4,22,14,Medium,6,6,n,B
5,7/28/2018,4,23,14,Medium,5,5,n,B
5,7/29/2018,4,24,14,Medium,3,5,y,B
5,7/31/2018,4,26,14,Medium,5,5,n,B
5,7/5/2018,1,1,15,High,15,15,n,B
5,7/7/2018,1,3,15,High,6,14,y,B
5,7/8/2018,1,4,15,High,14,14,n,B
5,7/9/2018,1,5,15,High,12,12,n,B
5,7/10/2018,1,6,15,High,7,10,y,B
5,7/11/2018,1,6,15,High,8,10,y,B
5,7/14/2018,2,10,15,High,8,10,y,B
