Trial,Date,Week,Day,Reef,Treatment,Density,den.max,den.changed,deployment.day
4,6/19/2018,3,19,6,Low,5,5,n,A
4,6/20/2018,3,20,6,Low,5,5,n,A
4,6/26/2018,4,26,6,Low,2,2,n,A
4,6/27/2018,4,27,6,Low,2,2,n,A
4,6/28/2018,4,28,6,Low,2,2,n,A
4,5/31/2018,1,1,7,Medium,14,14,n,A
4,6/5/2018,1,5,7,Medium,11,11,n,A
4,6/6/2018,1,6,7,Medium,6,9,y,A
4,6/7/2018,1,7,7,Medium,9,9,n,A
4,6/11/2018,2,11,7,Medium,3,3,n,A
4,6/12/2018,2,12,7,Medium,0,2,y,A
4,6/13/2018,2,13,7,Medium,2,2,n,A
4,6/14/2018,2,14,7,Medium,2,2,n,A
4,6/16/2018,3,16,7,Medium,2,2,n,A
4,6/17/2018,3,17,7,Medium,2,2,n,A
4,6/19/2018,3,19,7,Medium,2,2,n,A
4,6/20/2018,3,20,7,Medium,2,2,n,A
4,6/26/2018,4,26,7,Medium,2,2,n,A
4,6/27/2018,4,27,7,Medium,2,2,n,A
4,6/28/2018,4,28,7,Medium,2,2,n,A
4,5/31/2018,1,1,8,High,16,16,n,A
4,6/5/2018,1,5,8,High,13,13,n,A
4,6/6/2018,1,6,8,High,9,9,n,A
4,6/7/2018,1,7,8,High,7,7,n,A
4,6/11/2018,2,11,8,High,5,6,y,A
4,6/12/2018,2,12,8,High,3,6,y,A
4,6/13/2018,2,13,8,High,4,6,y,A
4,6/14/2018,2,14,8,High,3,6,y,A
4,6/16/2018,3,16,8,High,4,6,y,A
4,6/17/2018,3,17,8,High,6,6,n,A
4,6/19/2018,3,19,8,High,4,4,n,A
4,6/20/2018,3,20,8,High,2,2,n,A
4,6/26/2018,4,26,8,High,2,2,n,A
4,6/27/2018,4,27,8,High,2,2,n,A
4,6/28/2018,4,28,8,High,0,0,n,A
4,5/31/2018,1,1,9,Low,11,13,y,A
4,6/5/2018,1,5,9,Low,13,13,n,A
4,6/6/2018,1,6,9,Low,9,11,y,A
4,6/7/2018,1,7,9,Low,11,11,n,A
4,6/11/2018,2,11,9,Low,5,6,y,A
4,6/12/2018,2,12,9,Low,4,6,y,A
4,6/13/2018,2,13,9,Low,5,6,y,A
4,6/14/2018,2,14,9,Low,6,6,n,A
4,6/16/2018,3,16,9,Low,6,6,n,A
4,6/17/2018,3,17,9,Low,4,4,n,A
4,6/19/2018,3,19,9,Low,3,3,n,A
4,6/20/2018,3,20,9,Low,2,2,n,A
4,6/26/2018,4,26,9,Low,2,2,n,A
4,6/27/2018,4,27,9,Low,1,1,n,A
4,6/28/2018,4,28,9,Low,1,1,n,A
4,5/31/2018,1,1,10,Medium,10,16,y,B
4,6/5/2018,1,4,10,Medium,16,16,n,B
4,6/6/2018,1,5,10,Medium,10,12,y,B
4,6/7/2018,1,6,10,Medium,10,12,y,B
4,6/12/2018,2,11,10,Medium,10,12,y,B
4,6/11/2018,2,12,10,Medium,11,12,y,B
4,6/13/2018,2,12,10,Medium,12,12,n,B
4,6/14/2018,2,13,10,Medium,11,11,n,B
4,6/16/2018,3,15,10,Medium,8,9,y,B
4,6/17/2018,3,16,10,Medium,7,9,y,B
4,6/19/2018,3,18,10,Medium,9,9,n,B
4,6/20/2018,3,19,10,Medium,9,9,n,B
4,6/26/2018,4,25,10,Medium,5,5,n,B
4,6/27/2018,4,26,10,Medium,3,3,n,B
4,6/28/2018,4,27,10,Medium,2,2,n,B
4,5/31/2018,1,1,11,Low,11,18,y,B
4,6/5/2018,1,4,11,Low,14,18,y,B
4,6/6/2018,1,5,11,Low,11,18,y,B
4,6/7/2018,1,6,11,Low,15,18,y,B
4,6/12/2018,2,11,11,Low,11,18,y,B
4,6/11/2018,2,12,11,Low,14,18,y,B
4,6/13/2018,2,12,11,Low,15,18,y,B
4,6/14/2018,2,13,11,Low,18,18,n,B
4,6/16/2018,3,15,11,Low,11,14,y,B
4,6/17/2018,3,16,11,Low,12,14,y,B
4,6/19/2018,3,18,11,Low,14,14,n,B
4,6/20/2018,3,19,11,Low,14,14,n,B
4,6/26/2018,4,25,11,Low,11,14,y,B
4,6/27/2018,4,26,11,Low,10,14,y,B
4,6/28/2018,4,27,11,Low,14,14,n,B
4,5/31/2018,1,1,12,High,12,18,y,B
4,6/5/2018,1,4,12,High,18,18,n,B
4,6/6/2018,1,5,12,High,15,15,n,B
4,6/7/2018,1,6,12,High,14,15,y,B
4,6/12/2018,2,11,12,High,15,15,n,B
4,6/11/2018,2,12,12,High,12,15,y,B
4,6/13/2018,2,12,12,High,11,15,y,B
4,6/14/2018,2,13,12,High,10,15,y,B
4,6/16/2018,3,15,12,High,9,15,y,B
4,6/17/2018,3,16,12,High,11,15,y,B
4,6/19/2018,3,18,12,High,15,15,n,B
4,6/20/2018,3,19,12,High,14,14,n,B
4,6/26/2018,4,25,12,High,14,14,n,B
4,6/27/2018,4,26,12,High,14,14,n,B
4,6/28/2018,4,27,12,High,7,7,n,B
4,5/31/2018,1,1,13,Low,9,17,y,B
4,6/5/2018,1,4,13,Low,14,17,y,B
4,6/6/2018,1,5,13,Low,12,17,y,B
4,6/7/2018,1,6,13,Low,14,17,y,B
4,6/12/2018,2,11,13,Low,12,17,y,B
4,6/11/2018,2,12,13,Low,11,17,y,B
4,6/13/2018,2,12,13,Low,15,17,y,B
4,6/14/2018,2,13,13,Low,17,17,n,B
4,6/16/2018,3,15,13,Low,10,12,y,B
4,6/17/2018,3,16,13,Low,9,12,y,B
4,6/19/2018,3,18,13,Low,12,12,n,B
4,6/20/2018,3,19,13,Low,9,12,y,B
4,6/26/2018,4,25,13,Low,11,12,y,B
4,6/27/2018,4,26,13,Low,12,12,n,B
4,6/28/2018,4,27,13,Low,8,8,n,B
4,5/31/2018,1,1,14,Medium,15,20,y,B
4,6/5/2018,1,4,14,Medium,16,20,y,B
4,6/6/2018,1,5,14,Medium,11,20,y,B
4,6/7/2018,1,6,14,Medium,18,20,y,B
4,6/12/2018,2,11,14,Medium,14,20,y,B
4,6/11/2018,2,12,14,Medium,13,20,y,B
4,6/13/2018,2,12,14,Medium,20,20,n,B
4,6/14/2018,2,13,14,Medium,18,18,n,B
4,6/16/2018,3,15,14,Medium,12,16,y,B
4,6/17/2018,3,16,14,Medium,12,16,y,B
4,6/19/2018,3,18,14,Medium,14,16,y,B
4,6/20/2018,3,19,14,Medium,16,16,n,B
4,6/26/2018,4,25,14,Medium,13,14,y,B
4,6/27/2018,4,26,14,Medium,14,14,n,B
4,6/28/2018,4,27,14,Medium,12,12,n,B
4,5/31/2018,1,1,15,Low,10,16,y,B
4,6/5/2018,1,4,15,Low,12,16,y,B
4,6/6/2018,1,5,15,Low,11,16,y,B
4,6/7/2018,1,6,15,Low,16,16,n,B
4,6/12/2018,2,11,15,Low,10,13,y,B
4,6/11/2018,2,12,15,Low,11,13,y,B
4,6/13/2018,2,12,15,Low,10,13,y,B
4,6/14/2018,2,13,15,Low,13,13,n,B
4,6/16/2018,3,15,15,Low,9,13,y,B
4,6/17/2018,3,16,15,Low,11,13,y,B
4,6/19/2018,3,18,15,Low,13,13,n,B
4,6/20/2018,3,19,15,Low,8,8,n,B
4,6/26/2018,4,25,15,Low,7,8,y,B
4,6/27/2018,4,26,15,Low,6,8,y,B
4,6/28/2018,4,27,15,Low,8,8,n,B
4,5/31/2018,1,1,16,High,11,16,y,B
4,6/5/2018,1,4,16,High,13,16,y,B
4,6/6/2018,1,5,16,High,11,16,y,B
4,6/7/2018,1,6,16,High,12,16,y,B
4,6/12/2018,2,11,16,High,16,16,n,B
4,6/11/2018,2,12,16,High,7,13,y,B
4,6/13/2018,2,12,16,High,11,13,y,B
4,6/14/2018,2,13,16,High,13,13,n,B
4,6/16/2018,3,15,16,High,11,12,y,B
4,6/17/2018,3,16,16,High,10,12,y,B
4,6/19/2018,3,18,16,High,12,12,n,B
4,6/20/2018,3,19,16,High,11,11,n,B
4,6/26/2018,4,25,16,High,3,7,y,B
4,6/27/2018,4,26,16,High,7,7,n,B
4,6/28/2018,4,27,16,High,2,6,y,B
4,6/29/2018,4,28,16,High,6,6,n,B
4,5/31/2018,1,1,17,Medium,8,17,y,B
4,6/5/2018,1,4,17,Medium,10,17,y,B
4,6/6/2018,1,5,17,Medium,11,17,y,B
4,6/7/2018,1,6,17,Medium,13,17,y,B
4,6/12/2018,2,11,17,Medium,17,17,n,B
4,6/11/2018,2,12,17,Medium,6,14,y,B
4,6/13/2018,2,12,17,Medium,10,14,y,B
4,6/14/2018,2,13,17,Medium,14,14,n,B
4,6/16/2018,3,15,17,Medium,9,13,y,B
4,6/17/2018,3,16,17,Medium,11,13,y,B
4,6/19/2018,3,18,17,Medium,13,13,n,B
4,6/20/2018,3,19,17,Medium,9,12,y,B
4,6/26/2018,4,25,17,Medium,6,12,y,B
4,6/27/2018,4,26,17,Medium,11,12,y,B
4,6/28/2018,4,27,17,Medium,6,12,y,B
4,6/29/2018,4,28,17,Medium,12,12,n,B
4,5/31/2018,1,1,18,High,10,18,y,B
4,6/5/2018,1,4,18,High,10,18,y,B
4,6/6/2018,1,5,18,High,9,18,y,B
4,6/7/2018,1,6,18,High,16,18,y,B
4,6/12/2018,2,11,18,High,18,18,n,B
4,6/11/2018,2,12,18,High,12,12,n,B
4,6/13/2018,2,12,18,High,10,10,n,B
4,6/14/2018,2,13,18,High,10,10,n,B
4,6/16/2018,3,15,18,High,7,7,n,B
4,6/17/2018,3,16,18,High,7,7,n,B
4,6/19/2018,3,18,18,High,5,6,y,B
4,6/20/2018,3,19,18,High,6,6,n,B
4,6/26/2018,4,25,18,High,3,4,y,B
4,6/27/2018,4,26,18,High,NA,NA,n,B
4,6/28/2018,4,27,18,High,2,4,y,B
4,6/29/2018,4,28,18,High,4,4,n,B
5,7/4/2018,1,1,1,High,15,15,n,A
5,7/5/2018,1,2,1,High,9,12,y,A
5,7/7/2018,1,4,1,High,11,12,y,A
5,7/8/2018,1,5,1,High,8,12,y,A
5,7/9/2018,1,6,1,High,9,12,y,A
5,7/10/2018,1,7,1,High,12,12,n,A
5,7/11/2018,1,7,1,High,8,8,n,A
5,7/14/2018,2,11,1,High,6,6,n,A
5,7/15/2018,2,12,1,High,5,5,n,A
5,7/18/2018,3,15,1,High,3,3,n,A
5,7/19/2018,3,16,1,High,2,3,y,A
5,7/23/2018,3,20,1,High,3,3,n,A
5,7/24/2018,3,21,1,High,2,2,n,A
5,7/27/2018,4,23,1,High,2,2,n,A
5,7/28/2018,4,24,1,High,2,2,n,A
5,7/29/2018,4,25,1,High,2,2,n,A
5,7/30/2018,4,26,1,High,1,1,n,A
5,7/4/2018,1,1,2,Low,9,12,y,A
5,7/5/2018,1,2,2,Low,12,12,n,A
5,7/7/2018,1,4,2,Low,10,12,y,A
5,7/8/2018,1,5,2,Low,7,12,y,A
5,7/9/2018,1,6,2,Low,9,12,y,A
5,7/10/2018,1,7,2,Low,12,12,n,A
5,7/11/2018,1,7,2,Low,10,11,y,A
