"Treatment_power","Trial","x"
"no risk",1,38.4599715364158
"risk",1,38.1401146596682
"no risk",2,39.9269110880845
"risk",2,42.2146296692883
"no risk",3,59.6943728918166
"risk",3,48.6950286167359
"no risk",4,66.5702516222345
"risk",4,56.9545520134709
"no risk",5,60.564043205672
"risk",5,57.8977102571258
"no risk",6,32.226712876073
"risk",6,34.7603137191795
