"Plot Title: 20181752"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181752, SEN S/N: 20181752)","Coupler Attached (LGR S/N: 20181752)","Host Connected (LGR S/N: 20181752)","Stopped (LGR S/N: 20181752)","End Of File (LGR S/N: 20181752)"
1,06/05/18,01:30:00 PM,70.824,,,,
2,06/05/18,02:00:00 PM,69.107,,,,
3,06/05/18,02:30:00 PM,62.425,,,,
4,06/05/18,03:00:00 PM,62.425,,,,
5,06/05/18,03:30:00 PM,63.455,,,,
6,06/05/18,04:00:00 PM,62.598,,,,
7,06/05/18,04:30:00 PM,62.598,,,,
8,06/05/18,05:00:00 PM,61.912,,,,
9,06/05/18,05:30:00 PM,63.282,,,,
10,06/05/18,06:00:00 PM,64.310,,,,
11,06/05/18,06:30:00 PM,64.310,,,,
12,06/05/18,07:00:00 PM,61.227,,,,
13,06/05/18,07:30:00 PM,60.539,,,,
14,06/05/18,08:00:00 PM,61.398,,,,
15,06/05/18,08:30:00 PM,61.741,,,,
16,06/05/18,09:00:00 PM,62.598,,,,
17,06/05/18,09:30:00 PM,63.111,,,,
18,06/05/18,10:00:00 PM,63.626,,,,
19,06/05/18,10:30:00 PM,63.797,,,,
20,06/05/18,11:00:00 PM,63.626,,,,
21,06/05/18,11:30:00 PM,64.139,,,,
22,06/06/18,12:00:00 AM,64.310,,,,
23,06/06/18,12:30:00 AM,64.481,,,,
24,06/06/18,01:00:00 AM,64.481,,,,
25,06/06/18,01:30:00 AM,63.968,,,,
26,06/06/18,02:00:00 AM,63.968,,,,
27,06/06/18,02:30:00 AM,63.968,,,,
28,06/06/18,03:00:00 AM,63.968,,,,
29,06/06/18,03:30:00 AM,63.968,,,,
30,06/06/18,04:00:00 AM,63.968,,,,
31,06/06/18,04:30:00 AM,63.968,,,,
32,06/06/18,05:00:00 AM,63.968,,,,
33,06/06/18,05:30:00 AM,63.968,,,,
34,06/06/18,06:00:00 AM,63.797,,,,
35,06/06/18,06:30:00 AM,63.797,,,,
36,06/06/18,07:00:00 AM,63.455,,,,
37,06/06/18,07:30:00 AM,63.797,,,,
38,06/06/18,08:00:00 AM,63.797,,,,
39,06/06/18,08:30:00 AM,63.626,,,,
40,06/06/18,09:00:00 AM,63.797,,,,
41,06/06/18,09:30:00 AM,63.455,,,,
42,06/06/18,10:00:00 AM,63.968,,,,
43,06/06/18,10:30:00 AM,64.310,,,,
44,06/06/18,11:00:00 AM,64.310,,,,
45,06/06/18,11:30:00 AM,64.481,,,,
46,06/06/18,12:00:00 PM,64.481,,,,
47,06/06/18,12:30:00 PM,64.825,,,,
48,06/06/18,01:00:00 PM,63.968,,,,
49,06/06/18,01:30:00 PM,63.797,,,,
50,06/06/18,02:00:00 PM,63.968,,,,
51,06/06/18,02:30:00 PM,64.481,,,,
52,06/06/18,03:00:00 PM,64.310,,,,
53,06/06/18,03:30:00 PM,63.968,,,,
54,06/06/18,04:00:00 PM,64.139,,,,
55,06/06/18,04:30:00 PM,63.626,,,,
56,06/06/18,05:00:00 PM,62.425,,,,
57,06/06/18,05:30:00 PM,62.769,,,,
58,06/06/18,06:00:00 PM,64.139,,,,
59,06/06/18,06:30:00 PM,64.825,,,,
60,06/06/18,07:00:00 PM,64.996,,,,
61,06/06/18,07:30:00 PM,63.797,,,,
