"Plot Title: 20181760"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181760, SEN S/N: 20181760)","Coupler Attached (LGR S/N: 20181760)","Host Connected (LGR S/N: 20181760)","Stopped (LGR S/N: 20181760)","End Of File (LGR S/N: 20181760)"
1,08/08/18,12:00:00 AM,73.753,,,,
2,08/08/18,12:30:00 AM,72.372,,,,
3,08/08/18,01:00:00 AM,71.683,,,,
4,08/08/18,01:30:00 AM,73.062,,,,
5,08/08/18,02:00:00 AM,69.622,,,,
6,08/08/18,02:30:00 AM,72.891,,,,
7,08/08/18,03:00:00 AM,74.791,,,,
8,08/08/18,03:30:00 AM,73.407,,,,
9,08/08/18,04:00:00 AM,73.407,,,,
10,08/08/18,04:30:00 AM,74.271,,,,
11,08/08/18,05:00:00 AM,74.098,,,,
12,08/08/18,05:30:00 AM,72.199,,,,
13,08/08/18,06:00:00 AM,73.926,,,,
14,08/08/18,06:30:00 AM,74.446,,,,
15,08/08/18,07:00:00 AM,74.964,,,,
16,08/08/18,07:30:00 AM,75.312,,,,
17,08/08/18,08:00:00 AM,75.484,,,,
18,08/08/18,08:30:00 AM,75.312,,,,
19,08/08/18,09:00:00 AM,75.484,,,,
20,08/08/18,09:30:00 AM,75.659,,,,
21,08/08/18,10:00:00 AM,75.832,,,,
22,08/08/18,10:30:00 AM,75.659,,,,
23,08/08/18,11:00:00 AM,75.832,,,,
24,08/08/18,11:30:00 AM,75.832,,,,
25,08/08/18,12:00:00 PM,73.926,,,,
26,08/08/18,12:30:00 PM,72.545,,,,
27,08/08/18,01:00:00 PM,68.763,,,,
28,08/08/18,01:30:00 PM,69.107,,,,
29,08/08/18,02:00:00 PM,68.077,,,,
30,08/08/18,02:30:00 PM,68.248,,,,
31,08/08/18,03:00:00 PM,68.248,,,,
32,08/08/18,03:30:00 PM,71.168,,,,
33,08/08/18,04:00:00 PM,69.107,,,,
34,08/08/18,04:30:00 PM,67.221,,,,
35,08/08/18,05:00:00 PM,68.421,,,,
36,08/08/18,05:30:00 PM,68.077,,,,
