"Plot Title: 20181765"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181765, SEN S/N: 20181765)","Coupler Attached (LGR S/N: 20181765)","Host Connected (LGR S/N: 20181765)","Stopped (LGR S/N: 20181765)","End Of File (LGR S/N: 20181765)"
1,06/05/18,01:30:00 PM,69.278,,,,
2,06/05/18,02:00:00 PM,70.480,,,,
3,06/05/18,02:30:00 PM,62.940,,,,
4,06/05/18,03:00:00 PM,63.282,,,,
5,06/05/18,03:30:00 PM,64.139,,,,
6,06/05/18,04:00:00 PM,63.111,,,,
7,06/05/18,04:30:00 PM,63.111,,,,
8,06/05/18,05:00:00 PM,62.425,,,,
9,06/05/18,05:30:00 PM,63.626,,,,
10,06/05/18,06:00:00 PM,64.652,,,,
11,06/05/18,06:30:00 PM,63.968,,,,
12,06/05/18,07:00:00 PM,61.569,,,,
13,06/05/18,07:30:00 PM,61.398,,,,
14,06/05/18,08:00:00 PM,61.741,,,,
15,06/05/18,08:30:00 PM,62.769,,,,
16,06/05/18,09:00:00 PM,63.455,,,,
17,06/05/18,09:30:00 PM,63.626,,,,
18,06/05/18,10:00:00 PM,63.797,,,,
19,06/05/18,10:30:00 PM,63.968,,,,
20,06/05/18,11:00:00 PM,64.139,,,,
21,06/05/18,11:30:00 PM,64.481,,,,
22,06/06/18,12:00:00 AM,64.481,,,,
23,06/06/18,12:30:00 AM,64.481,,,,
24,06/06/18,01:00:00 AM,64.481,,,,
25,06/06/18,01:30:00 AM,64.310,,,,
26,06/06/18,02:00:00 AM,64.310,,,,
27,06/06/18,02:30:00 AM,64.310,,,,
28,06/06/18,03:00:00 AM,64.139,,,,
29,06/06/18,03:30:00 AM,64.139,,,,
30,06/06/18,04:00:00 AM,64.139,,,,
31,06/06/18,04:30:00 AM,64.139,,,,
32,06/06/18,05:00:00 AM,64.139,,,,
33,06/06/18,05:30:00 AM,63.797,,,,
34,06/06/18,06:00:00 AM,63.797,,,,
35,06/06/18,06:30:00 AM,63.968,,,,
36,06/06/18,07:00:00 AM,63.455,,,,
37,06/06/18,07:30:00 AM,63.968,,,,
38,06/06/18,08:00:00 AM,63.111,,,,
39,06/06/18,08:30:00 AM,63.626,,,,
40,06/06/18,09:00:00 AM,63.626,,,,
41,06/06/18,09:30:00 AM,63.968,,,,
42,06/06/18,10:00:00 AM,64.310,,,,
43,06/06/18,10:30:00 AM,64.481,,,,
44,06/06/18,11:00:00 AM,64.652,,,,
45,06/06/18,11:30:00 AM,64.652,,,,
46,06/06/18,12:00:00 PM,64.652,,,,
47,06/06/18,12:30:00 PM,64.310,,,,
48,06/06/18,01:00:00 PM,63.455,,,,
49,06/06/18,01:30:00 PM,64.310,,,,
50,06/06/18,02:00:00 PM,64.481,,,,
51,06/06/18,02:30:00 PM,64.652,,,,
52,06/06/18,03:00:00 PM,64.481,,,,
53,06/06/18,03:30:00 PM,64.310,,,,
54,06/06/18,04:00:00 PM,64.310,,,,
55,06/06/18,04:30:00 PM,63.111,,,,
56,06/06/18,05:00:00 PM,63.455,,,,
57,06/06/18,05:30:00 PM,63.455,,,,
58,06/06/18,06:00:00 PM,64.652,,,,
59,06/06/18,06:30:00 PM,64.825,,,,
60,06/06/18,07:00:00 PM,64.996,,,,
61,06/06/18,07:30:00 PM,63.626,,,,
62,06/06/18,08:00:00 PM,63.282,,,,
63,06/06/18,08:30:00 PM,63.282,,,,
64,06/06/18,09:00:00 PM,63.797,,,,
65,06/06/18,09:30:00 PM,64.310,,,,
66,06/06/18,10:00:00 PM,64.310,,,,
67,06/06/18,10:30:00 PM,64.825,,,,
68,06/06/18,11:00:00 PM,64.996,,,,
69,06/06/18,11:30:00 PM,64.996,,,,
70,06/07/18,12:00:00 AM,64.996,,,,
71,06/07/18,12:30:00 AM,64.996,,,,
72,06/07/18,01:00:00 AM,64.825,,,,
73,06/07/18,01:30:00 AM,64.481,,,,
74,06/07/18,02:00:00 AM,64.481,,,,
75,06/07/18,02:30:00 AM,64.825,,,,
76,06/07/18,03:00:00 AM,64.996,,,,
77,06/07/18,03:30:00 AM,64.825,,,,
78,06/07/18,04:00:00 AM,64.825,,,,
79,06/07/18,04:30:00 AM,64.825,,,,
80,06/07/18,05:00:00 AM,64.652,,,,
81,06/07/18,05:30:00 AM,64.481,,,,
82,06/07/18,06:00:00 AM,64.310,,,,
83,06/07/18,06:30:00 AM,64.652,,,,
84,06/07/18,07:00:00 AM,64.652,,,,
85,06/07/18,07:30:00 AM,64.652,,,,
86,06/07/18,08:00:00 AM,63.111,,,,
87,06/07/18,08:30:00 AM,64.310,,,,
88,06/07/18,09:00:00 AM,64.481,,,,
89,06/07/18,09:30:00 AM,63.968,,,,
90,06/07/18,10:00:00 AM,64.139,,,,
91,06/07/18,10:30:00 AM,62.940,,,,
92,06/07/18,11:00:00 AM,63.797,,,,
93,06/07/18,11:30:00 AM,63.968,,,,
94,06/07/18,12:00:00 PM,64.652,,,,
95,06/07/18,12:30:00 PM,64.825,,,,
96,06/07/18,01:00:00 PM,64.996,,,,
97,06/07/18,01:30:00 PM,65.167,,,,
98,06/07/18,02:00:00 PM,64.996,,,,
99,06/07/18,02:30:00 PM,64.652,,,,
